,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1295,Nd-O,16487,1891,1.9811,2.7959,2.478,0.101,Nd,O,8,60
1296,Nd-P,43,26,2.7314,3.1834,3.018,0.115,Nd,P,15,60
1297,Nd-Pd,13,13,2.9133,3.3833,3.097,0.181,Nd,Pd,46,60
1298,Nd-Rb,1,1,3.5476,3.5476,3.548,0.0,Nd,Rb,37,60
1299,Nd-Rh,16,16,2.9769,3.3202,3.18,0.079,Nd,Rh,45,60
1300,Nd-Ru,30,27,3.0295,3.4008,3.215,0.098,Nd,Ru,44,60
1301,Nd-S,409,93,2.691,3.1673,2.927,0.109,Nd,S,16,60
1302,Nd-Sb,71,21,3.1114,3.5775,3.299,0.098,Nd,Sb,51,60
1303,Nd-Se,159,44,2.8169,3.3012,3.034,0.095,Nd,Se,34,60
1304,Nd-Si,110,63,2.8248,3.2433,3.114,0.092,Nd,Si,14,60
1305,Nd-Sn,32,9,3.1432,3.5272,3.311,0.083,Nd,Sn,50,60
1306,Nd-Te,62,36,3.0161,3.5348,3.273,0.142,Nd,Te,52,60
1307,Nd-V,9,6,3.0773,3.3688,3.258,0.101,Nd,V,23,60
1308,Nd-Y,14,14,3.5912,3.7347,3.663,0.035,Nd,Y,39,60
1309,Nd-Zn,108,30,3.0485,3.4101,3.238,0.104,Nd,Zn,30,60
1310,Al-Ni,13850,68,2.1261,2.7414,2.539,0.107,Al,Ni,13,28
1311,B-Ni,958,203,1.6725,2.3844,2.117,0.09,B,Ni,5,28
1312,C-Ni,8387,2220,1.5757,2.2649,1.973,0.125,C,Ni,6,28
1313,Ca-Ni,14,7,2.802,2.9997,2.911,0.056,Ca,Ni,20,28
1314,Cl-Ni,1909,969,1.9496,2.6703,2.32,0.115,Cl,Ni,17,28
1315,Co-Ni,53,19,1.9098,2.6827,2.471,0.126,Co,Ni,27,28
1316,Cr-Ni,15,12,2.0831,2.7265,2.542,0.165,Cr,Ni,24,28
1317,F-Ni,718,175,1.6919,2.161,1.959,0.066,F,Ni,9,28
1318,Fe-Ni,119,52,2.3178,2.7365,2.602,0.089,Fe,Ni,26,28
1319,H-Ni,858,292,1.2357,1.9899,1.64,0.146,H,Ni,1,28
1320,K-Ni,5,4,2.1581,2.8981,2.467,0.275,K,Ni,19,28
1321,Li-Ni,5,3,1.7658,1.8185,1.783,0.019,Li,Ni,3,28
1322,Mg-Ni,76,36,2.2082,2.951,2.727,0.126,Mg,Ni,12,28
1323,Mn-Ni,59,42,2.2447,2.7317,2.592,0.086,Mn,Ni,25,28
1324,N-Ni,34435,8456,1.5762,2.3818,2.039,0.098,N,Ni,7,28
1325,Na-Ni,28,20,2.7107,3.0085,2.887,0.084,Na,Ni,11,28
1326,Ni-Ni,5776,647,1.8964,2.7137,2.445,0.163,Ni,Ni,28,28
1327,Ni-O,34907,6875,1.5637,2.303,2.051,0.08,Ni,O,8,28
1328,Ni-P,5019,2014,1.8236,2.6027,2.208,0.076,Ni,P,15,28
1329,Ni-S,7019,2056,1.9794,2.5931,2.238,0.117,Ni,S,16,28
1330,Ni-Si,362,175,2.0324,2.6635,2.319,0.104,Ni,Si,14,28
1331,Ni-Ti,17,10,1.6856,2.416,2.022,0.304,Ni,Ti,22,28
1332,Ni-V,64,15,2.0714,2.7869,2.627,0.108,Ni,V,23,28
1333,F-Np,211,14,2.1716,2.4374,2.276,0.055,F,Np,9,93
1334,N-Np,1,1,1.9605,1.9605,1.961,0.0,N,Np,7,93
1335,Np-O,275,95,1.706,2.1366,1.833,0.076,Np,O,8,93
1336,Np-S,101,15,2.6527,3.0505,2.832,0.084,Np,S,16,93
1337,Np-Sb,2,1,2.4952,2.4952,2.495,0.0,Np,Sb,51,93
1338,Np-W,1,1,2.2732,2.2732,2.273,0.0,Np,W,74,93
1339,Be-O,2445,559,1.0567,1.9087,1.633,0.054,Be,O,4,8
1340,Br-O,188,76,1.3228,2.1485,1.658,0.155,Br,O,8,35
1341,Cl-O,63600,8562,1.1146,2.0294,1.414,0.067,Cl,O,8,17
1342,F-O,196,111,1.1924,1.7098,1.491,0.152,F,O,8,9
1343,H-O,301607,84374,0.667,1.2999,0.869,0.08,H,O,1,8
1344,I-O,2469,424,1.7036,2.443,1.868,0.133,I,O,8,53
1345,Li-O,24576,5014,1.2444,2.5999,2.026,0.15,Li,O,3,8
1346,O-O,26291,10572,1.182,1.782,1.501,0.168,O,O,8,8
1347,O-P,99588,16522,1.3652,2.0944,1.541,0.05,O,P,8,15
1348,O-S,108229,26054,1.1448,2.0632,1.452,0.055,O,S,8,16
1349,Ag-Os,56,7,2.7802,2.9876,2.871,0.053,Ag,Os,47,76
1350,Al-Os,13,4,2.5152,2.729,2.62,0.065,Al,Os,13,76
1351,As-Os,14,9,2.3666,2.4765,2.435,0.029,As,Os,33,76
1352,B-Os,134,53,1.8871,2.4695,2.188,0.125,B,Os,5,76
1353,Br-Os,77,43,2.3964,2.6934,2.542,0.051,Br,Os,35,76
1354,C-Os,8221,1094,1.6665,2.3954,2.011,0.147,C,Os,6,76
1355,Ca-Os,7,3,2.1859,2.9837,2.528,0.3,Ca,Os,20,76
1356,Ce-Os,4,4,3.0482,3.2236,3.137,0.062,Ce,Os,58,76
1357,Cl-Os,838,421,2.2005,2.6785,2.411,0.065,Cl,Os,17,76
1358,Co-Os,1,1,2.6813,2.6813,2.681,0.0,Co,Os,27,76
1359,Cr-Os,2,2,2.6145,2.6185,2.617,0.002,Cr,Os,24,76
1360,Cu-Os,2,1,2.4268,2.5279,2.477,0.051,Cu,Os,29,76
1361,Er-Os,1,1,3.1667,3.1667,3.167,0.0,Er,Os,68,76
1362,Eu-Os,6,3,3.3238,3.5249,3.409,0.061,Eu,Os,63,76
1363,F-Os,127,36,1.5787,2.252,1.93,0.111,F,Os,9,76
1364,Fe-Os,10,5,2.6197,2.7604,2.708,0.051,Fe,Os,26,76
1365,Ga-Os,9,3,2.5729,2.7199,2.627,0.047,Ga,Os,31,76
1366,Gd-Os,3,2,3.1211,3.3226,3.192,0.093,Gd,Os,64,76
1367,Ge-Os,61,17,2.3745,2.7522,2.531,0.069,Ge,Os,32,76
1368,H-Os,983,342,1.2972,1.9585,1.696,0.141,H,Os,1,76
1369,Hf-Os,24,2,2.5457,3.1636,2.887,0.164,Hf,Os,72,76
1370,Ho-Os,1,1,3.1774,3.1774,3.177,0.0,Ho,Os,67,76
1371,I-Os,31,20,2.6163,2.8674,2.723,0.047,I,Os,53,76
1372,In-Os,1,1,2.7142,2.7142,2.714,0.0,In,Os,49,76
1373,K-Os,19,5,2.124,2.9554,2.506,0.287,K,Os,19,76
1374,La-Os,62,15,2.6144,3.4578,2.923,0.198,La,Os,57,76
1375,Lu-Os,6,5,2.8423,3.2365,3.114,0.126,Lu,Os,71,76
1376,Mg-Os,8,7,2.1672,3.0467,2.723,0.318,Mg,Os,12,76
1377,Mn-Os,3,2,2.8147,2.8669,2.848,0.024,Mn,Os,25,76
1378,Mo-Os,7,5,2.7749,2.9663,2.804,0.066,Mo,Os,42,76
1379,N-Os,2069,696,1.578,2.366,2.069,0.103,N,Os,7,76
1380,Na-Os,18,4,2.2601,3.0981,2.738,0.271,Na,Os,11,76
1381,Nb-Os,6,4,2.7852,2.8706,2.851,0.031,Nb,Os,41,76
1382,Nd-Os,6,6,3.2119,3.3814,3.267,0.057,Nd,Os,60,76
1383,Ni-Os,1,1,2.59,2.59,2.59,0.0,Ni,Os,28,76
1384,O-Os,797,344,1.5192,2.3466,1.983,0.153,O,Os,8,76
1385,Os-Os,1461,404,2.1745,2.9734,2.835,0.106,Os,Os,76,76
1386,Os-P,1288,639,2.2124,2.6597,2.365,0.054,Os,P,15,76
1387,Os-Pd,30,8,2.6712,2.8628,2.752,0.038,Os,Pd,46,76
1388,Os-Pr,4,4,3.1769,3.2548,3.231,0.032,Os,Pr,59,76
1389,Os-Re,70,17,2.6164,2.997,2.718,0.138,Os,Re,75,76
1390,Os-Rh,49,14,2.6879,2.9466,2.79,0.083,Os,Rh,45,76
1391,Os-Ru,26,12,2.411,2.9398,2.774,0.118,Os,Ru,44,76
1392,Os-S,375,119,2.1179,2.59,2.366,0.093,Os,S,16,76
1393,Os-Sb,126,45,2.5516,2.8003,2.668,0.042,Os,Sb,51,76
1394,Os-Se,142,18,2.249,2.7258,2.51,0.039,Os,Se,34,76
1395,Os-Si,59,31,2.2189,2.6557,2.447,0.091,Os,Si,14,76
1396,Os-Sm,2,2,3.2126,3.3214,3.267,0.054,Os,Sm,62,76
1397,Os-Sn,95,43,2.4938,2.9981,2.685,0.067,Os,Sn,50,76
1398,Os-Tb,2,2,3.1778,3.1911,3.184,0.007,Os,Tb,65,76
1399,Os-Te,12,8,2.6481,2.7512,2.708,0.037,Os,Te,52,76
1400,Os-Tm,1,1,3.1682,3.1682,3.168,0.0,Os,Tm,69,76
1401,Os-V,1,1,2.6486,2.6486,2.649,0.0,Os,V,23,76
1402,Os-W,7,4,2.5241,2.9855,2.839,0.147,Os,W,74,76
1403,Os-Y,2,2,3.1796,3.1851,3.182,0.003,Os,Y,39,76
1404,Os-Yb,1,1,3.1644,3.1644,3.164,0.0,Os,Yb,70,76
1405,Al-P,198,93,2.2392,2.6364,2.464,0.094,Al,P,13,15
1406,Br-P,127,54,2.0188,2.6178,2.217,0.093,Br,P,15,35
1407,Cl-P,1976,600,1.6661,2.4159,2.014,0.068,Cl,P,15,17
1408,H-P,1777,1050,1.1325,1.6279,1.333,0.076,H,P,1,15
1409,I-P,152,80,2.0637,2.5814,2.398,0.104,I,P,15,53
1410,Li-P,2,1,1.6049,1.8921,1.748,0.144,Li,P,3,15
1411,Mg-P,157,62,2.1579,2.8531,2.655,0.14,Mg,P,12,15
