,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1528,Hg-Po,1,1,3.125,3.125,3.125,0.0,Hg,Po,80,84
1529,Ho-Po,1,1,3.1,3.1,3.1,0.0,Ho,Po,67,84
1530,I-Po,1,1,2.8296,2.8296,2.83,0.0,I,Po,53,84
1531,Lu-Po,1,1,3.0795,3.0795,3.08,0.0,Lu,Po,71,84
1532,O-Po,2,2,2.4409,2.4625,2.452,0.011,O,Po,8,84
1533,Pb-Po,1,1,3.295,3.295,3.295,0.0,Pb,Po,82,84
1534,Pm-Po,1,1,3.18,3.18,3.18,0.0,Pm,Po,61,84
1535,Po-Po,2,1,3.3338,3.4261,3.38,0.046,Po,Po,84,84
1536,Po-Sm,1,1,3.362,3.362,3.362,0.0,Po,Sm,62,84
1537,Po-Tb,1,1,3.127,3.127,3.127,0.0,Po,Tb,65,84
1538,Po-Tm,1,1,3.128,3.128,3.128,0.0,Po,Tm,69,84
1539,Po-Y,1,1,3.1255,3.1255,3.126,0.0,Po,Y,39,84
1540,Po-Yb,1,1,3.271,3.271,3.271,0.0,Po,Yb,70,84
1541,Po-Zn,1,1,2.7319,2.7319,2.732,0.0,Po,Zn,30,84
1542,Ag-Pr,14,12,3.0636,3.3155,3.227,0.073,Ag,Pr,47,59
1543,Al-Pr,14,7,3.0098,3.1533,3.107,0.043,Al,Pr,13,59
1544,As-Pr,38,14,2.8748,3.1556,3.024,0.051,As,Pr,33,59
1545,B-Pr,24,7,2.4841,2.7242,2.664,0.055,B,Pr,5,59
1546,Br-Pr,34,10,2.9079,3.1116,3.01,0.06,Br,Pr,35,59
1547,C-Pr,393,145,2.2076,2.9537,2.778,0.16,C,Pr,6,59
1548,Cd-Pr,14,6,3.12,3.4946,3.343,0.088,Cd,Pr,48,59
1549,Ce-Pr,1,1,3.7133,3.7133,3.713,0.0,Ce,Pr,58,59
1550,Cl-Pr,330,57,2.4884,3.1615,2.933,0.115,Cl,Pr,17,59
1551,Co-Pr,45,29,2.5909,3.1363,2.951,0.091,Co,Pr,27,59
1552,Cu-Pr,14,9,2.9244,3.1493,3.064,0.07,Cu,Pr,29,59
1553,F-Pr,26,11,2.2834,2.5439,2.417,0.073,F,Pr,9,59
1554,Fe-Pr,60,26,2.5489,3.1498,3.054,0.104,Fe,Pr,26,59
1555,Ga-Pr,17,13,2.2976,3.2323,3.087,0.218,Ga,Pr,31,59
1556,Ge-Pr,91,28,2.8499,3.2085,3.114,0.071,Ge,Pr,32,59
1557,H-Pr,2,2,1.58,1.9649,1.772,0.192,H,Pr,1,59
1558,I-Pr,51,13,3.0246,3.334,3.207,0.079,I,Pr,53,59
1559,In-Pr,22,10,3.066,3.4633,3.322,0.097,In,Pr,49,59
1560,La-Pr,1,1,3.4772,3.4772,3.477,0.0,La,Pr,57,59
1561,Mg-Pr,8,8,3.1437,3.3695,3.292,0.086,Mg,Pr,12,59
1562,Mn-Pr,5,4,2.6989,3.1462,3.001,0.176,Mn,Pr,25,59
1563,Mo-Pr,4,2,3.2292,3.2917,3.268,0.023,Mo,Pr,42,59
1564,N-Pr,484,198,2.16,2.6549,2.571,0.086,N,Pr,7,59
1565,Na-Pr,11,9,3.0329,3.4023,3.337,0.1,Na,Pr,11,59
1566,Ni-Pr,24,20,2.7946,3.1142,2.957,0.087,Ni,Pr,28,59
1567,O-Pr,8619,1112,1.8574,2.6909,2.492,0.097,O,Pr,8,59
1568,P-Pr,19,13,2.8409,3.0037,2.936,0.041,P,Pr,15,59
1569,Pd-Pr,14,10,2.9239,3.2483,3.083,0.124,Pd,Pr,46,59
1570,Pr-Pr,32,24,2.6173,3.5368,3.321,0.264,Pr,Pr,59,59
1571,Pr-Rh,8,7,2.9461,3.1614,3.096,0.081,Pr,Rh,45,59
1572,Pr-Ru,12,10,2.7713,3.234,3.125,0.121,Pr,Ru,44,59
1573,Pr-S,384,65,2.7083,3.183,2.939,0.096,Pr,S,16,59
1574,Pr-Sb,84,18,3.1605,3.4073,3.285,0.055,Pr,Sb,51,59
1575,Pr-Se,71,32,2.8598,3.1338,3.022,0.063,Pr,Se,34,59
1576,Pr-Si,12,8,2.9274,3.0767,3.035,0.041,Pr,Si,14,59
1577,Pr-Sn,20,7,3.204,3.4041,3.325,0.057,Pr,Sn,50,59
1578,Pr-Te,61,21,3.1164,3.3729,3.252,0.054,Pr,Te,52,59
1579,Pr-Zn,65,14,2.6521,3.2382,3.155,0.078,Pr,Zn,30,59
1580,Ag-Pt,167,90,2.5955,3.1093,2.867,0.119,Ag,Pt,47,78
1581,Al-Pt,41,23,2.3688,2.8585,2.534,0.088,Al,Pt,13,78
1582,As-Pt,239,81,2.2962,2.6565,2.416,0.053,As,Pt,33,78
1583,B-Pt,385,158,1.8605,2.5085,2.19,0.121,B,Pt,5,78
1584,Br-Pt,670,365,2.3046,2.829,2.492,0.065,Br,Pt,35,78
1585,C-Pt,9928,3668,1.7016,2.4421,2.039,0.093,C,Pt,6,78
1586,Ca-Pt,40,23,2.4404,3.1614,3.002,0.136,Ca,Pt,20,78
1587,Cd-Pt,178,48,2.5852,3.2744,2.921,0.158,Cd,Pt,48,78
1588,Ce-Pt,44,33,2.8451,3.4723,3.194,0.183,Ce,Pt,58,78
1589,Cl-Pt,3871,1986,2.1232,2.6235,2.333,0.045,Cl,Pt,17,78
1590,Co-Pt,60,24,2.5425,2.8008,2.669,0.058,Co,Pt,27,78
1591,Cr-Pt,15,13,2.4976,2.8834,2.644,0.115,Cr,Pt,24,78
1592,Cu-Pt,45,38,2.3992,2.9089,2.685,0.116,Cu,Pt,29,78
1593,Dy-Pt,11,8,2.9847,3.3417,3.119,0.121,Dy,Pt,66,78
1594,Er-Pt,33,9,2.7331,3.3048,3.045,0.138,Er,Pt,68,78
1595,Eu-Pt,19,14,3.0025,3.6937,3.256,0.169,Eu,Pt,63,78
1596,F-Pt,72,33,1.6905,2.3447,1.982,0.129,F,Pt,9,78
1597,Fe-Pt,66,41,2.5263,2.8894,2.653,0.107,Fe,Pt,26,78
1598,Ga-Pt,101,41,2.3056,2.946,2.537,0.158,Ga,Pt,31,78
1599,Gd-Pt,14,12,2.8787,3.3956,3.098,0.165,Gd,Pt,64,78
1600,Ge-Pt,173,75,2.2899,2.9644,2.487,0.121,Ge,Pt,32,78
1601,H-Pt,263,170,1.3187,1.9028,1.649,0.12,H,Pt,1,78
1602,Hf-Pt,8,5,2.7323,2.9947,2.828,0.069,Hf,Pt,72,78
1603,Ho-Pt,16,11,2.8274,3.2998,3.03,0.155,Ho,Pt,67,78
1604,I-Pt,649,345,2.3769,3.0484,2.673,0.089,I,Pt,53,78
1605,In-Pt,77,28,2.513,3.1516,2.723,0.119,In,Pt,49,78
1606,Ir-Pt,79,16,2.6156,3.0221,2.776,0.11,Ir,Pt,77,78
1607,La-Pt,31,27,2.8811,3.518,3.312,0.171,La,Pt,57,78
1608,Lu-Pt,5,5,2.7668,3.2197,2.922,0.161,Lu,Pt,71,78
1609,Mg-Pt,22,14,2.6427,2.9389,2.782,0.084,Mg,Pt,12,78
1610,Mn-Pt,30,27,2.6068,2.8614,2.726,0.054,Mn,Pt,25,78
1611,Mo-Pt,48,34,2.6386,3.0034,2.816,0.096,Mo,Pt,42,78
1612,N-Pt,9447,3446,1.7464,2.4058,2.05,0.062,N,Pt,7,78
1613,Na-Pt,17,13,2.8202,3.1802,3.042,0.118,Na,Pt,11,78
1614,Nb-Pt,33,14,2.3034,3.0127,2.707,0.226,Nb,Pt,41,78
1615,Nd-Pt,20,16,2.8701,3.4594,3.157,0.164,Nd,Pt,60,78
1616,Ni-Pt,182,15,2.4881,2.8875,2.681,0.081,Ni,Pt,28,78
1617,O-Pt,2836,1106,1.7182,2.3911,2.049,0.07,O,Pt,8,78
1618,Os-Pt,82,29,2.6529,2.9611,2.779,0.062,Os,Pt,76,78
1619,P-Pt,7448,3014,2.062,2.709,2.286,0.044,P,Pt,15,78
1620,Pd-Pt,31,22,2.4502,2.9773,2.753,0.114,Pd,Pt,46,78
1621,Pr-Pt,14,9,2.8478,3.2391,3.074,0.119,Pr,Pt,59,78
1622,Pt-Pt,1541,461,2.1416,3.0673,2.767,0.137,Pt,Pt,78,78
1623,Pt-Re,61,25,2.612,3.0235,2.827,0.117,Pt,Re,75,78
1624,Pt-Rh,84,38,2.6014,2.9933,2.783,0.102,Pt,Rh,45,78
1625,Pt-Ru,256,78,2.5989,3.0082,2.834,0.094,Pt,Ru,44,78
1626,Pt-S,3057,1240,1.9069,2.7027,2.309,0.059,Pt,S,16,78
1627,Pt-Sb,112,64,2.4203,3.1271,2.622,0.097,Pt,Sb,51,78
1628,Pt-Se,195,89,2.2925,2.6237,2.458,0.047,Pt,Se,34,78
1629,Pt-Si,382,163,2.118,2.7449,2.379,0.076,Pt,Si,14,78
1630,Pt-Sm,17,11,2.8658,3.3772,3.095,0.127,Pt,Sm,62,78
1631,Pt-Sn,289,98,2.4826,3.156,2.701,0.113,Pt,Sn,50,78
1632,Pt-Ta,16,3,2.7352,2.8028,2.789,0.018,Pt,Ta,73,78
1633,Pt-Tb,18,11,2.8486,3.3417,3.101,0.151,Pt,Tb,65,78
1634,Pt-Te,68,38,2.4801,2.761,2.608,0.061,Pt,Te,52,78
1635,Pt-Ti,4,3,2.1692,2.5759,2.401,0.147,Pt,Ti,22,78
1636,Pt-Tm,5,4,2.8567,3.2121,3.039,0.123,Pt,Tm,69,78
1637,Pt-V,12,11,2.6043,2.8381,2.724,0.053,Pt,V,23,78
1638,Pt-W,15,10,2.7083,2.9545,2.846,0.079,Pt,W,74,78
1639,Pt-Y,15,14,2.787,3.2162,2.999,0.132,Pt,Y,39,78
1640,Pt-Yb,15,12,2.7983,3.2225,2.942,0.117,Pt,Yb,70,78
1641,Pt-Zn,127,27,2.3435,3.0022,2.64,0.149,Pt,Zn,30,78
1642,Br-Pu,11,6,2.8511,3.222,2.996,0.11,Br,Pu,35,94
1643,Cl-Pu,102,38,2.5412,3.0891,2.674,0.108,Cl,Pu,17,94
1644,F-Pu,2,1,2.4379,2.4379,2.438,0.0,F,Pu,9,94
1645,O-Pu,574,100,1.6921,2.6488,2.348,0.208,O,Pu,8,94
1646,Pt-Pu,1,1,2.7727,2.7727,2.773,0.0,Pt,Pu,78,94
1647,Pu-Pu,2,2,2.4694,2.5193,2.494,0.025,Pu,Pu,94,94
1648,Pu-Rh,4,4,2.6847,2.7156,2.701,0.011,Pu,Rh,45,94
1649,Pu-S,67,17,2.765,3.2101,2.94,0.089,Pu,S,16,94
1650,B-Ra,2,1,2.1767,2.2063,2.191,0.015,B,Ra,5,88
1651,C-Ra,12,1,2.0087,2.3801,2.221,0.141,C,Ra,6,88
1652,K-Ra,3,1,2.6913,3.1334,2.867,0.191,K,Ra,19,88
1653,Ra-Ra,7,1,2.5301,3.1092,2.76,0.206,Ra,Ra,88,88
1654,Ra-Yb,3,1,2.4447,2.9149,2.652,0.196,Ra,Yb,70,88
1655,Al-Rb,3,2,3.018,3.1179,3.067,0.041,Al,Rb,13,37
1656,As-Rb,2,2,2.3687,2.8149,2.592,0.223,As,Rb,33,37
1657,Br-Rb,252,58,2.2517,3.7913,3.566,0.149,Br,Rb,35,37
1658,C-Rb,1,1,2.6,2.6,2.6,0.0,C,Rb,6,37
1659,Cl-Rb,672,145,2.584,3.6597,3.409,0.129,Cl,Rb,17,37
1660,F-Rb,1178,239,2.3004,3.2414,2.972,0.14,F,Rb,9,37
1661,Ge-Rb,3,3,2.5928,3.0404,2.75,0.206,Ge,Rb,32,37
1662,H-Rb,6,4,1.8906,2.0381,1.947,0.052,H,Rb,1,37
1663,K-Rb,11,5,2.3667,2.8172,2.485,0.134,K,Rb,19,37
1664,Mn-Rb,1,1,2.6663,2.6663,2.666,0.0,Mn,Rb,25,37
1665,N-Rb,4,4,2.014,2.5848,2.372,0.22,N,Rb,7,37
1666,Na-Rb,12,8,2.4811,3.3436,2.959,0.315,Na,Rb,11,37
1667,O-Rb,11000,1304,1.8411,3.187,2.973,0.128,O,Rb,8,37
1668,Rb-Rb,92,45,2.4658,3.4915,3.085,0.304,Rb,Rb,37,37
1669,Rb-S,1570,276,2.468,3.6817,3.47,0.124,Rb,S,16,37
1670,Rb-Se,3,2,2.4046,2.9842,2.72,0.239,Rb,Se,34,37
1671,Ag-Re,21,8,2.7957,3.0146,2.915,0.059,Ag,Re,47,75
1672,Al-Re,57,4,2.3845,2.8413,2.653,0.097,Al,Re,13,75
1673,As-Re,7,4,2.4105,2.6134,2.556,0.063,As,Re,33,75
1674,B-Re,366,77,1.9603,2.59,2.303,0.11,B,Re,5,75
1675,Br-Re,897,355,2.3318,2.7774,2.547,0.066,Br,Re,35,75
1676,C-Re,10433,2082,1.4495,2.4188,1.994,0.13,C,Re,6,75
1677,Cd-Re,1,1,2.5952,2.5952,2.595,0.0,Cd,Re,48,75
1678,Ce-Re,1,1,3.0571,3.0571,3.057,0.0,Ce,Re,58,75
1679,Cl-Re,2238,825,1.9383,2.6765,2.396,0.074,Cl,Re,17,75
1680,Co-Re,10,6,2.4582,2.7852,2.615,0.09,Co,Re,27,75
1681,Cu-Re,6,4,2.6584,2.8025,2.738,0.054,Cu,Re,29,75
1682,Eu-Re,1,1,3.3943,3.3943,3.394,0.0,Eu,Re,63,75
1683,F-Re,183,30,1.589,2.3386,1.948,0.133,F,Re,9,75
1684,Fe-Re,2,1,2.8507,2.8756,2.863,0.012,Fe,Re,26,75
1685,Ga-Re,1,1,2.7013,2.7013,2.701,0.0,Ga,Re,31,75
1686,Gd-Re,2,2,3.3047,3.3844,3.345,0.04,Gd,Re,64,75
1687,Ge-Re,15,5,2.5342,2.666,2.584,0.034,Ge,Re,32,75
1688,H-Re,290,122,1.3378,1.9838,1.773,0.12,H,Re,1,75
1689,I-Re,95,45,2.4557,2.9107,2.757,0.068,I,Re,53,75
1690,In-Re,16,6,2.7378,2.8193,2.792,0.02,In,Re,49,75
1691,La-Re,24,11,3.0316,3.4921,3.327,0.166,La,Re,57,75
1692,Lu-Re,4,2,2.8773,3.2238,2.971,0.146,Lu,Re,71,75
1693,Mo-Re,8,4,2.6754,3.0037,2.775,0.134,Mo,Re,42,75
1694,N-Re,5071,1943,1.6649,2.3948,2.142,0.111,N,Re,7,75
1695,Nb-Re,8,3,2.3351,3.0098,2.666,0.272,Nb,Re,41,75
1696,Nd-Re,6,3,3.042,3.2893,3.143,0.086,Nd,Re,60,75
1697,Ni-Re,7,4,2.3248,2.7484,2.627,0.133,Ni,Re,28,75
1698,O-Re,4444,1286,1.4588,2.3627,1.864,0.188,O,Re,8,75
1699,P-Re,1893,775,2.2095,2.7719,2.448,0.053,P,Re,15,75
1700,Pd-Re,14,5,2.7041,2.9823,2.84,0.107,Pd,Re,46,75
1701,Pr-Re,11,3,3.0257,3.2041,3.113,0.05,Pr,Re,59,75
1702,Re-Re,1415,351,2.1776,3.0205,2.646,0.143,Re,Re,75,75
1703,Re-Rh,4,4,2.8333,2.9582,2.883,0.046,Re,Rh,45,75
1704,Re-Ru,5,3,2.9069,2.9627,2.936,0.022,Re,Ru,44,75
1705,Re-S,2104,425,1.9835,2.609,2.405,0.074,Re,S,16,75
1706,Re-Sb,54,19,2.6769,2.8527,2.766,0.04,Re,Sb,51,75
1707,Re-Se,1814,131,2.3453,2.8448,2.519,0.032,Re,Se,34,75
1708,Re-Si,90,29,2.2656,2.8151,2.535,0.112,Re,Si,14,75
1709,Re-Sm,7,3,2.96,3.4057,3.211,0.206,Re,Sm,62,75
1710,Re-Sn,28,18,2.6795,2.8215,2.76,0.036,Re,Sn,50,75
1711,Re-Ta,1,1,2.7437,2.7437,2.744,0.0,Re,Ta,73,75
1712,Re-Te,246,34,2.5296,2.8268,2.674,0.053,Re,Te,52,75
1713,Re-W,5,4,2.6411,3.0437,2.852,0.179,Re,W,74,75
1714,Re-Y,3,3,2.8686,3.2265,3.038,0.147,Re,Y,39,75
1715,Re-Zn,4,2,2.6198,2.7436,2.688,0.044,Re,Zn,30,75
1716,Al-Rh,31334,16,2.3092,2.8672,2.57,0.095,Al,Rh,13,45
1717,As-Rh,162,30,2.1348,2.7064,2.483,0.091,As,Rh,33,45
1718,B-Rh,898,294,1.9038,2.6424,2.211,0.115,B,Rh,5,45
1719,Br-Rh,150,82,2.4185,2.8035,2.541,0.073,Br,Rh,35,45
1720,C-Rh,18624,3342,1.6723,2.4218,2.125,0.123,C,Rh,6,45
1721,Ca-Rh,14,9,2.9157,3.1241,3.039,0.053,Ca,Rh,20,45
1722,Cl-Rh,2411,1337,2.0802,2.6431,2.402,0.056,Cl,Rh,17,45
1723,Co-Rh,46,19,2.3361,2.8425,2.6,0.102,Co,Rh,27,45
1724,Cr-Rh,3,3,2.6095,2.7953,2.682,0.081,Cr,Rh,24,45
1725,Cu-Rh,4,4,2.5244,2.7774,2.674,0.096,Cu,Rh,29,45
1726,F-Rh,60,37,1.7954,2.2664,1.998,0.116,F,Rh,9,45
1727,Fe-Rh,36,24,2.5129,2.8371,2.637,0.078,Fe,Rh,26,45
1728,Ga-Rh,87,25,2.3326,2.8503,2.502,0.114,Ga,Rh,31,45
1729,Ge-Rh,205,66,2.3039,2.9096,2.497,0.108,Ge,Rh,32,45
1730,H-Rh,633,308,1.2888,2.1423,1.684,0.185,H,Rh,1,45
1731,Mg-Rh,35,18,2.5048,3.0372,2.794,0.122,Mg,Rh,12,45
1732,Mn-Rh,30,24,2.6223,2.8083,2.714,0.052,Mn,Rh,25,45
1733,Mo-Rh,35,15,2.7184,2.9537,2.841,0.071,Mo,Rh,42,45
1734,N-Rh,5330,1941,1.6829,2.359,2.09,0.073,N,Rh,7,45
1735,Na-Rh,5,5,2.826,2.9132,2.868,0.034,Na,Rh,11,45
1736,Nb-Rh,21,9,2.6744,2.9288,2.774,0.053,Nb,Rh,41,45
1737,Ni-Rh,3753,9,2.3558,2.8209,2.616,0.15,Ni,Rh,28,45
1738,O-Rh,4381,1115,1.6951,2.3356,2.074,0.074,O,Rh,8,45
1739,P-Rh,4284,1959,2.0827,2.725,2.291,0.07,P,Rh,15,45
1740,Rh-Rh,4889,525,2.3554,2.9499,2.722,0.14,Rh,Rh,45,45
1741,Rh-Ru,51,21,2.1532,2.9473,2.778,0.162,Rh,Ru,44,45
1742,Rh-S,1442,552,2.0157,2.632,2.354,0.057,Rh,S,16,45
1743,Rh-Se,142,44,2.2485,2.6319,2.475,0.054,Rh,Se,34,45
1744,Rh-Si,208,138,2.1704,2.7394,2.368,0.085,Rh,Si,14,45
1745,Rh-Ti,3,2,2.3379,2.4602,2.412,0.053,Rh,Ti,22,45
1746,Rh-V,15,9,2.6475,2.8355,2.699,0.054,Rh,V,23,45
1747,Rh-Y,28,19,2.7165,3.2752,3.072,0.135,Rh,Y,39,45
1748,Rh-Zn,83,12,2.3219,2.846,2.541,0.161,Rh,Zn,30,45
1749,Al-Ru,189,36,2.2488,2.8454,2.562,0.122,Al,Ru,13,44
1750,As-Ru,176,71,2.3632,2.8569,2.449,0.054,As,Ru,33,44
1751,B-Ru,1097,324,1.7803,2.5454,2.231,0.107,B,Ru,5,44
1752,Br-Ru,256,122,2.4032,2.7277,2.561,0.061,Br,Ru,35,44
1753,C-Ru,48604,6520,1.6618,2.3834,2.125,0.141,C,Ru,6,44
1754,Ca-Ru,5,3,3.0916,3.1261,3.108,0.012,Ca,Ru,20,44
1755,Cl-Ru,6240,3216,2.0757,2.6389,2.416,0.052,Cl,Ru,17,44
1756,Co-Ru,69,26,2.4841,2.8096,2.641,0.081,Co,Ru,27,44
1757,Cr-Ru,1,1,2.6156,2.6156,2.616,0.0,Cr,Ru,24,44
1758,Cu-Ru,54,18,2.541,2.7928,2.653,0.055,Cu,Ru,29,44
1759,F-Ru,107,39,1.6719,2.2959,2.031,0.137,F,Ru,9,44
1760,Fe-Ru,125,51,2.2838,2.8378,2.686,0.1,Fe,Ru,26,44
1761,Ga-Ru,65,22,2.3568,2.8231,2.479,0.109,Ga,Ru,31,44
1762,Ge-Ru,199,75,2.1712,2.8814,2.495,0.09,Ge,Ru,32,44
1763,H-Ru,2726,1089,1.3002,2.079,1.694,0.146,H,Ru,1,44
1764,Mg-Ru,28,11,2.5473,3.0598,2.791,0.128,Mg,Ru,12,44
1765,Mn-Ru,7,6,2.446,2.8437,2.698,0.135,Mn,Ru,25,44
1766,Mo-Ru,93,38,2.1806,3.0049,2.826,0.167,Mo,Ru,42,44
1767,N-Ru,19845,5311,1.4707,2.3574,2.075,0.079,N,Ru,7,44
1768,Na-Ru,9,8,2.8782,3.0815,2.988,0.056,Na,Ru,11,44
1769,Nb-Ru,12,9,2.6565,3.0,2.8,0.102,Nb,Ru,41,44
1770,Ni-Ru,32,13,2.5813,2.8295,2.692,0.081,Ni,Ru,28,44
1771,O-Ru,8505,2534,1.6387,2.3555,2.064,0.092,O,Ru,8,44
1772,P-Ru,8047,3719,2.0045,2.6971,2.329,0.06,P,Ru,15,44
1773,Ru-Ru,3864,1242,2.0723,2.9498,2.783,0.145,Ru,Ru,44,44
1774,Ru-S,3407,1296,2.0445,2.6201,2.349,0.077,Ru,S,16,44
1775,Ru-Se,338,87,2.2999,2.6586,2.523,0.058,Ru,Se,34,44
1776,Ru-Si,434,269,1.9451,2.7762,2.385,0.091,Ru,Si,14,44
1777,Ru-Ti,5,4,2.1693,2.5236,2.371,0.165,Ru,Ti,22,44
1778,Ru-V,4,4,2.5894,2.6032,2.598,0.005,Ru,V,23,44
1779,Ru-Y,91,25,2.7433,3.242,2.95,0.11,Ru,Y,39,44
1780,Ru-Zn,72,15,2.4352,2.878,2.615,0.111,Ru,Zn,30,44
1781,Al-S,283,115,1.9932,2.5949,2.324,0.122,Al,S,13,16
1782,Br-S,25,17,2.114,2.5402,2.315,0.134,Br,S,16,35
1783,Cl-S,168,80,1.6787,2.35,2.016,0.077,Cl,S,16,17
1784,H-S,824,495,1.0138,1.6099,1.294,0.15,H,S,1,16
1785,I-S,88,54,2.0315,2.8807,2.56,0.205,I,S,16,53
1786,Li-S,984,230,1.3947,2.8098,2.524,0.125,Li,S,3,16
1787,Mg-S,161,62,2.3074,2.78,2.532,0.108,Mg,S,12,16
1788,Na-S,1782,520,2.085,3.252,2.989,0.15,Na,S,11,16
1789,S-S,4674,2214,1.679,2.4053,2.057,0.098,S,S,16,16
1790,S-Si,829,326,1.8141,2.4512,2.125,0.068,S,Si,14,16
1791,Ag-Sb,47,32,2.459,3.2237,2.828,0.162,Ag,Sb,47,51
1792,Al-Sb,72,30,2.2614,3.0227,2.721,0.109,Al,Sb,13,51
1793,As-Sb,12,10,2.6631,3.0509,2.789,0.157,As,Sb,33,51
1794,B-Sb,8,4,2.3122,2.5568,2.446,0.084,B,Sb,5,51
1795,Br-Sb,210,83,2.1067,2.9905,2.643,0.136,Br,Sb,35,51
1796,C-Sb,2048,589,1.8928,2.5596,2.137,0.041,C,Sb,6,51
1797,Ca-Sb,202,51,2.427,3.3018,3.178,0.102,Ca,Sb,20,51
1798,Cd-Sb,574,44,2.5698,3.362,2.922,0.105,Cd,Sb,48,51
1799,Cl-Sb,1956,416,1.9672,2.8185,2.413,0.107,Cl,Sb,17,51
1800,Co-Sb,34,30,2.4772,2.9451,2.592,0.124,Co,Sb,27,51
1801,Cr-Sb,34,19,2.5497,2.9749,2.699,0.125,Cr,Sb,24,51
1802,Cu-Sb,68,35,2.2884,3.0161,2.643,0.125,Cu,Sb,29,51
1803,F-Sb,10225,1186,1.6344,2.5003,1.866,0.073,F,Sb,9,51
1804,Fe-Sb,129,78,2.2472,3.0238,2.584,0.125,Fe,Sb,26,51
1805,Ga-Sb,108,34,2.2256,2.9618,2.695,0.094,Ga,Sb,31,51
1806,Ge-Sb,37,11,2.4349,2.9321,2.679,0.104,Ge,Sb,32,51
1807,H-Sb,4,4,1.5542,1.8059,1.657,0.107,H,Sb,1,51
1808,In-Sb,81,25,2.7258,3.0556,2.866,0.06,In,Sb,49,51
1809,K-Sb,7,4,2.6075,3.2081,2.838,0.228,K,Sb,19,51
1810,Mg-Sb,55,30,2.7297,3.2099,2.996,0.12,Mg,Sb,12,51
1811,Mn-Sb,204,73,2.3503,3.0075,2.757,0.118,Mn,Sb,25,51
1812,Mo-Sb,39,13,2.3274,3.1587,2.859,0.159,Mo,Sb,42,51
1813,N-Sb,577,218,1.9093,2.5343,2.179,0.155,N,Sb,7,51
1814,Na-Sb,92,34,3.0149,3.302,3.194,0.07,Na,Sb,11,51
1815,Nb-Sb,14,9,2.7771,3.1762,2.939,0.089,Nb,Sb,41,51
1816,Ni-Sb,198,84,2.2222,2.9926,2.592,0.113,Ni,Sb,28,51
1817,O-Sb,6429,1007,1.6822,2.5131,2.025,0.106,O,Sb,8,51
1818,P-Sb,85,50,2.4009,2.8741,2.64,0.107,P,Sb,15,51
1819,Pd-Sb,136,53,2.4783,3.1344,2.694,0.113,Pd,Sb,46,51
1820,Rb-Sb,6,2,2.8251,2.9451,2.89,0.043,Rb,Sb,37,51
1821,Rh-Sb,34,19,2.5404,2.7559,2.637,0.063,Rh,Sb,45,51
1822,Ru-Sb,27,19,2.5289,2.8327,2.625,0.071,Ru,Sb,44,51
1823,S-Sb,3728,543,2.0211,2.8549,2.505,0.121,S,Sb,16,51
1824,Sb-Sb,649,232,2.3196,3.3026,3.005,0.185,Sb,Sb,51,51
1825,Sb-Se,516,117,2.1848,3.0205,2.636,0.162,Sb,Se,34,51
1826,Sb-Si,74,21,2.3489,2.9215,2.592,0.114,Sb,Si,14,51
1827,Sb-Sn,35,13,2.7329,3.065,2.899,0.086,Sb,Sn,50,51
1828,Sb-Sr,2,2,2.6971,2.7491,2.723,0.026,Sb,Sr,38,51
1829,Sb-Ti,25,13,2.2964,2.7123,2.61,0.126,Sb,Ti,22,51
1830,Sb-V,7,7,2.699,3.0867,2.82,0.118,Sb,V,23,51
1831,Sb-Y,23,9,2.9005,3.4193,3.178,0.097,Sb,Y,39,51
1832,Sb-Zn,395,90,2.2228,3.1266,2.714,0.142,Sb,Zn,30,51
1833,Sb-Zr,1,1,2.501,2.501,2.501,0.0,Sb,Zr,40,51
1834,B-Sc,270,54,2.2315,2.8249,2.549,0.139,B,Sc,5,21
1835,C-Sc,3302,354,1.7232,2.7914,2.475,0.154,C,Sc,6,21
1836,Cl-Sc,210,73,2.3286,2.857,2.491,0.093,Cl,Sc,17,21
1837,F-Sc,181,52,1.9311,2.3511,2.065,0.092,F,Sc,9,21
1838,N-Sc,1,1,1.8244,1.8244,1.824,0.0,N,Sc,7,21
1839,O-Sc,2992,734,1.3183,2.3509,2.106,0.089,O,Sc,8,21
1840,S-Sc,147,47,2.2889,2.8398,2.604,0.104,S,Sc,16,21
1841,Sc-Sc,8,3,1.5719,1.8868,1.701,0.126,Sc,Sc,21,21
1842,Al-Se,83,31,2.1677,2.6301,2.4,0.088,Al,Se,13,34
1843,As-Se,603,112,2.1081,2.7528,2.375,0.076,As,Se,33,34
1844,B-Se,293,48,1.8348,2.1948,2.007,0.062,B,Se,5,34
1845,C-Se,7198,2304,1.6212,2.2726,1.914,0.051,C,Se,6,34
1846,Ca-Se,13,6,2.955,3.0126,2.979,0.018,Ca,Se,20,34
1847,Cl-Se,158,64,1.9011,2.5367,2.265,0.129,Cl,Se,17,34
1848,Co-Se,174,69,2.2495,2.7347,2.396,0.088,Co,Se,27,34
1849,Cr-Se,359,107,2.1935,2.7496,2.508,0.078,Cr,Se,24,34
1850,Cu-Se,3398,530,2.0462,3.408,2.595,0.295,Cu,Se,29,34
1851,F-Se,36,13,1.6376,2.1574,1.768,0.102,F,Se,9,34
1852,Fe-Se,1083,266,2.2184,2.7378,2.417,0.079,Fe,Se,26,34
1853,Ga-Se,588,145,2.282,2.8471,2.417,0.058,Ga,Se,31,34
